IDSORT	INDIV	DAM	SIRE	HATCH_DATE	COHORT	GEN	SEX	MORPH	P_ORANGE	P_YELLOW	P_GREY
1	203	0	0	NA	1	1	F	OY	13.96	9.69	76.35
2	205	0	0	NA	1	1	F	G	0.40	0.24	99.37
3	206	0	0	NA	1	1	F	Y	1.13	34.73	64.14
4	209	0	0	NA	1	1	F	O	57.11	4.20	38.69
5	211	0	0	NA	1	1	F	OY	2.66	6.23	91.11
6	218	0	0	NA	1	1	F	O	35.78	0.03	64.19
7	219	0	0	NA	1	1	F	O	11.75	0.00	88.24
8	220	0	0	NA	1	1	F	Y	0.80	6.17	93.34
9	221	0	0	NA	1	1	F	OY	2.64	5.21	92.14
10	226	0	0	NA	1	1	F	OY	9.22	12.98	77.80
11	227	0	0	NA	1	1	F	OY	60.00	5.67	34.33
12	232	0	0	NA	1	1	F	O	18.38	0.05	81.58
13	238	0	0	NA	1	1	F	O	19.77	0.11	80.12
14	242	0	0	NA	1	1	F	G	0.01	0.37	99.64
15	251	0	0	NA	1	1	F	Y	0.03	5.75	94.22
16	261	0	0	NA	1	1	F	Y	1.80	10.00	88.20
17	206.1	0	0	NA	1	1	F	OY	2.22	8.59	89.20
18	258	0	0	NA	1	1	M	Y	0.80	37.52	61.68
19	257	0	0	NA	1	1	M	O	41.83	1.89	56.28
20	269	0	0	NA	1	1	M	G	0.08	0.11	99.81
21	208	0	0	NA	1	1	M	OY	2.30	36.32	61.38
22	213	0	0	NA	1	1	M	O	43.85	3.37	52.78
23	224	0	0	NA	1	1	M	OY	57.68	15.54	26.78
24	262	0	0	NA	1	1	M	Y	0.06	45.76	54.18
25	210	0	0	NA	1	1	M	OY	19.67	34.24	46.08
26	253	0	0	NA	1	1	M	Y	0.47	75.57	23.96
27	230	0	0	NA	1	1	M	OY	6.40	6.71	86.89
28	214	0	0	NA	1	1	M	OY	17.45	32.86	49.68
29	222	0	0	NA	1	1	M	G	0.32	0.05	99.63
30	240	0	0	NA	1	1	M	G	0.52	0.93	98.54
31	263	0	0	NA	1	1	M	G	0.20	0.35	99.44
32	256	0	0	NA	1	1	M	O	88.64	0.50	10.86
33	245	0	0	NA	1	1	M	OY	17.21	63.60	19.19
