FISHID	FAMILY	SIRE	DAM	SEX	LICE	WEIGHT	LENGHT
B322_0370	HR200	L2M20182	L2F20756	0	33	2.187520721	2.376576957
B322_0217	DR096	L2M20275	L2F22528	1	26	2.214843848	2.387389826
B322_0497	HR200	L2M20182	L2F20756	1	16	1.892094603	2.283301229
B322_0027	FU151	L2M20308	L2F22756	0	41	2.136720567	2.359835482
B322_0531	CV074	L2M20285	L2F22872	0	17	2.053078443	2.334453751
B322_0401	DZ104	L2M20379	L2F24288	1	29	2.041392685	2.334453751
B322_0449	ER122	L2M20172	L2F21005	1	41	2.201397124	2.390935107
B322_0460	CQ069	L2M20288	L2F22496	0	34	2.086359831	2.334453751
B322_0466	AQ017	L2M20300	L2F22809	0	25	1.944482672	2.298853076
B322_0493	DI087	L2M20257	L2F22055	0	27	2.056904851	2.338456494
B322_0432	AP016	L2M20379	L2F24287	0	27	2.170261715	2.371067862
B322_0446	HR200	L2M20182	L2F20756	1	29	1.973127854	2.311753861
B322_0142	CV074	L2M20285	L2F22872	1	27	1.919078092	2.294466226
B322_0628	CV074	L2M20285	L2F22872	0	10	2.086359831	2.342422681
B322_0430	CV074	L2M20285	L2F22872	0	14	2.071882007	2.346352974
B322_0551	HR200	L2M20182	L2F20756	0	50	2.029383778	2.328379603
B322_0436	AP016	L2M20379	L2F24287	1	24	2.130333768	2.356025857
B322_0456	GR174	L2M20327	L2F23481	1	17	1.913813852	2.285557309
B322_0461	EY129	L2M20276	L2F22429	0	9	1.716003344	2.220108088
B322_0462	HL194	L2M20360	L2F24065	1	16	2.190331698	2.334453751
B322_0488	EL116	L1M10002	L2F23517	1	38	2.033423755	2.330413773
B322_0487	DD082	L2M20261	L2F22907	1	12	2.190331698	2.369215857
B322_0425	AZ026	L2M20255	L2F23226	1	43	2.093421685	2.354108439
B322_0403	CV074	L2M20285	L2F22872	1	20	1.986771734	2.307496038
B322_0294	DR096	L2M20275	L2F22528	0	31	2.113943352	2.346352974
B322_0664	CV074	L2M20285	L2F22872	0	29	2.075546961	2.346352974
B322_0410	HR200	L2M20182	L2F20756	0	32	2.127104798	2.365487985
B322_0435	DO093	L2M20111	L2F21054	0	43	2.029383778	2.318063335
B322_0452	CI061	L2M20195	L2F21010	1	17	1.986771734	2.309630167
B322_0402	AP016	L2M20379	L2F24287	0	46	2.033423755	2.326335861
B322_0458	HC185	L2M20382	L2F24283	0	20	2.130333768	2.365487985
B322_0468	GR174	L2M20327	L2F23481	1	10	1.77815125	2.227886705
B322_0494	EL116	L1M10002	L2F23517	0	33	2.133538908	2.372912003
B322_0483	DO093	L2M20111	L2F21054	1	20	1.986771734	2.307496038
B322_0420	FO145	L2M20255	L2F22374	0	32	1.857332496	2.269512944
B322_0453	FU151	L2M20308	L2F22756	1	6	1.763427994	2.245512668
B322_0630	DR096	L2M20275	L2F22528	0	28	2.053078443	2.320146286
B322_0669	FU151	L2M20308	L2F22756	0	19	1.986771734	2.326335861
B322_0326	FU151	L2M20308	L2F22756	1	23	2.017033339	2.330413773
B322_0438	CW075	L2M20241	L2F21811	0	24	2.079181246	2.342422681
B322_0451	AP016	L2M20379	L2F24287	1	38	2.089905111	2.334453751
B322_0450	HA183	L2M20276	L2F22157	1	34	2.041392685	2.336459734
B322_0480	HI191	L2M20257	L2F21389	1	18	2.307496038	2.421603927
B322_0473	FL142	L2M20261	L2F23414	0	55	2.184691431	2.387389826
B322_0495	CW075	L2M20241	L2F21811	0	13	1.963787827	2.303196057
B322_0429	HA183	L2M20276	L2F22157	0	61	2.089905111	2.356025857
B322_0263	DR096	L2M20275	L2F22528	0	28	2.252853031	2.385606274
B322_0475	HR200	L2M20182	L2F20756	0	11	2.127104798	2.357934847
B322_0677	HR200	L2M20182	L2F20756	0	24	1.949390007	2.29666519
B322_0112	DR096	L2M20275	L2F22528	1	56	2.117271296	2.361727836
B322_0440	CQ069	L2M20288	L2F22496	1	29	2.117271296	2.348304863
B322_0439	CT072	L2M20232	L2F22244	1	35	2.008600172	2.315970345
B322_0455	GY181	L2M20220	L2F22306	1	36	2.133538908	2.346352974
B322_0457	DD082	L2M20261	L2F22907	1	41	2.1430148	2.354108439
B322_0470	EM117	L2M20125	L2F20598	1	12	2.056904851	2.342422681
B322_0500	GY181	L2M20220	L2F22306	1	16	2.149219113	2.357934847
B322_0424	HI191	L2M20257	L2F21389	1	24	2.086359831	2.340444115
B322_0615	FU151	L2M20308	L2F22756	1	1	1.875061263	2.278753601
B322_0570	DR096	L2M20275	L2F22528	1	39	2.161368002	2.36361198
B322_0653	HR200	L2M20182	L2F20756	0	49	2.204119983	2.389166084
B322_0109	CV074	L2M20285	L2F22872	1	22	2.037426498	2.330413773
B322_0434	CT072	L2M20232	L2F22244	0	35	2.139879086	2.36361198
B322_0445	BS045	L2M20308	L2F22750	1	18	2.029383778	2.322219295
B322_0404	EL116	L1M10002	L2F23517	1	29	2.033423755	2.334453751
B322_0465	FO145	L2M20255	L2F22374	0	18	1.954242509	2.294466226
B322_0496	DO093	L2M20111	L2F21054	1	15	1.995635195	2.322219295
B322_0481	ER122	L2M20172	L2F21005	0	22	2.113943352	2.346352974
B322_0416	CI061	L2M20195	L2F21010	1	20	2.255272505	2.408239965
B322_0415	AZ026	L2M20255	L2F23226	1	24	1.973127854	2.324282455
B322_0295	HR200	L2M20182	L2F20756	1	22	2.117271296	2.348304863
B322_0463	CV074	L2M20285	L2F22872	0	23	2.100370545	2.354108439
B322_0490	DR096	L2M20275	L2F22528	1	29	2.123851641	2.357934847
B322_0050	FU151	L2M20308	L2F22756	0	9	2.037426498	2.320146286
B322_0441	DI087	L2M20257	L2F22055	0	35	2.008600172	2.324282455
B322_0447	EL116	L1M10002	L2F23517	0	46	2.170261715	2.382017043
B322_0479	CD056	L2M20288	L2F22514	1	34	2.041392685	2.31386722
B322_0474	FL142	L2M20261	L2F23414	0	39	2.133538908	2.354108439
B322_0469	FN144	L2M20327	L2F23443	0	16	2.170261715	2.357934847
B322_0482	HB184	L2M20300	L2F22827	0	46	2.049218023	2.330413773
B322_0418	EL116	L1M10002	L2F23517	1	30	2.012837225	2.328379603
B322_0419	DI087	L2M20257	L2F22055	0	37	2.017033339	2.326335861
B322_0225	DR096	L2M20275	L2F22528	0	81	2.1430148	2.357934847
B322_0646	HR200	L2M20182	L2F20756	1	28	2.181843588	2.371067862
B322_0048	CV074	L2M20285	L2F22872	0	24	2.08278537	2.342422681
B322_0197	CV074	L2M20285	L2F22872	0	13	2.021189299	2.31386722
B322_0406	DD082	L2M20261	L2F22907	0	36	2.173186268	2.365487985
B322_0405	DI087	L2M20257	L2F22055	0	23	1.982271233	2.31386722
B322_0476	HP198	L2M20172	L2F21075	1	29	2.008600172	2.328379603
B322_0478	HC185	L2M20382	L2F24283	1	42	1.949390007	2.298853076
B322_0489	FB132	L2M20111	L2F20671	0	29	1.991226076	2.315970345
B322_0413	CS071	L2M20285	L2F22476	0	16	1.908485019	2.29666519
B322_0433	HI191	L2M20257	L2F21389	1	19	1.995635195	2.307496038
B322_0674	FO145	L2M20255	L2F22374	0	14	1.929418926	2.283301229
B322_0635	AT020	L2M20171	L2F21741	0	51	2.113943352	2.354108439
