FISHID	SIRE	DAM	SEX
L2M20182	0	0	0
L2M20275	0	0	0
L2M20308	0	0	0
L2M20285	0	0	0
L2M20379	0	0	0
L2M20172	0	0	0
L2M20288	0	0	1
L2M20300	0	0	1
L2M20257	0	0	0
L2M20327	0	0	0
L2M20276	0	0	1
L2M20360	0	0	1
L1M10002	0	0	0
L2M20261	0	0	0
L2M20255	0	0	0
L2M20111	0	0	0
L2M20195	0	0	0
L2M20382	0	0	0
L2M20241	0	0	1
L2M20232	0	0	1
L2M20220	0	0	1
L2M20125	0	0	0
L2M20171	0	0	1
L2M20039	0	0	1
L2M20325	0	0	0
L2M20231	0	0	0
L2M20271	0	0	0
L2M20222	0	0	0
L2M20152	0	0	0
L2M20249	0	0	0
L2F20756	0	0	1
L2F22528	0	0	1
L2F22756	0	0	0
L2F22872	0	0	0
L2F24288	0	0	1
L2F21005	0	0	0
L2F22496	0	0	0
L2F22809	0	0	0
L2F22055	0	0	0
L2F24287	0	0	0
L2F23481	0	0	1
L2F22429	0	0	1
L2F24065	0	0	0
L2F23517	0	0	0
L2F22907	0	0	1
L2F23226	0	0	1
L2F21054	0	0	0
L2F21010	0	0	0
L2F24283	0	0	0
L2F22374	0	0	0
L2F21811	0	0	0
L2F22157	0	0	0
L2F21389	0	0	1
L2F23414	0	0	1
L2F22244	0	0	0
L2F22306	0	0	0
L2F20598	0	0	1
L2F22750	0	0	0
L2F22514	0	0	0
L2F23443	0	0	0
L2F22827	0	0	0
L2F21075	0	0	0
L2F20671	0	0	0
L2F22476	0	0	1
L2F21741	0	0	1
L2F20682	0	0	0
L2F21694	0	0	0
L2F22142	0	0	1
L2F22608	0	0	0
L2F22403	0	0	0
L2F23949	0	0	0
L2F22572	0	0	0
L2F21995	0	0	0
L2F22410	0	0	1
L2F21569	0	0	1
L2F24282	0	0	0
L2F21637	0	0	1
L2F20534	0	0	1
L2F21932	0	0	0
L2F23521	0	0	0
L2F21256	0	0	0
L2F20884	0	0	0
L2F22218	0	0	0
L2F22141	0	0	0
L2F21322	0	0	0
L2F21328	0	0	1
L2F21039	0	0	0
L2F21107	0	0	0
L2F22901	0	0	1
B322_0370	L2M20182	L2F20756	0
B322_0217	L2M20275	L2F22528	1
B322_0497	L2M20182	L2F20756	1
B322_0027	L2M20308	L2F22756	0
B322_0531	L2M20285	L2F22872	0
B322_0401	L2M20379	L2F24288	1
B322_0449	L2M20172	L2F21005	1
B322_0460	L2M20288	L2F22496	0
B322_0466	L2M20300	L2F22809	0
B322_0493	L2M20257	L2F22055	0
B322_0432	L2M20379	L2F24287	0
B322_0446	L2M20182	L2F20756	1
B322_0142	L2M20285	L2F22872	1
B322_0628	L2M20285	L2F22872	0
B322_0430	L2M20285	L2F22872	0
B322_0551	L2M20182	L2F20756	0
B322_0436	L2M20379	L2F24287	1
B322_0456	L2M20327	L2F23481	1
B322_0461	L2M20276	L2F22429	0
B322_0462	L2M20360	L2F24065	1
B322_0488	L1M10002	L2F23517	1
B322_0487	L2M20261	L2F22907	1
B322_0425	L2M20255	L2F23226	1
B322_0403	L2M20285	L2F22872	1
B322_0294	L2M20275	L2F22528	0
B322_0664	L2M20285	L2F22872	0
B322_0410	L2M20182	L2F20756	0
B322_0435	L2M20111	L2F21054	0
B322_0452	L2M20195	L2F21010	1
B322_0402	L2M20379	L2F24287	0
B322_0458	L2M20382	L2F24283	0
B322_0468	L2M20327	L2F23481	1
B322_0494	L1M10002	L2F23517	0
B322_0483	L2M20111	L2F21054	1
B322_0420	L2M20255	L2F22374	0
B322_0453	L2M20308	L2F22756	1
B322_0630	L2M20275	L2F22528	0
B322_0669	L2M20308	L2F22756	0
B322_0326	L2M20308	L2F22756	1
B322_0438	L2M20241	L2F21811	0
B322_0451	L2M20379	L2F24287	1
B322_0450	L2M20276	L2F22157	1
B322_0480	L2M20257	L2F21389	1
B322_0473	L2M20261	L2F23414	0
B322_0495	L2M20241	L2F21811	0
B322_0429	L2M20276	L2F22157	0
B322_0263	L2M20275	L2F22528	0
B322_0475	L2M20182	L2F20756	0
B322_0677	L2M20182	L2F20756	0
B322_0112	L2M20275	L2F22528	1
B322_0440	L2M20288	L2F22496	1
B322_0439	L2M20232	L2F22244	1
B322_0455	L2M20220	L2F22306	1
B322_0457	L2M20261	L2F22907	1
B322_0470	L2M20125	L2F20598	1
B322_0500	L2M20220	L2F22306	1
B322_0424	L2M20257	L2F21389	1
B322_0615	L2M20308	L2F22756	1
B322_0570	L2M20275	L2F22528	1
B322_0653	L2M20182	L2F20756	0
B322_0109	L2M20285	L2F22872	1
B322_0434	L2M20232	L2F22244	0
B322_0445	L2M20308	L2F22750	1
B322_0404	L1M10002	L2F23517	1
B322_0465	L2M20255	L2F22374	0
B322_0496	L2M20111	L2F21054	1
B322_0481	L2M20172	L2F21005	0
B322_0416	L2M20195	L2F21010	1
B322_0415	L2M20255	L2F23226	1
