ID	Block	Pot	Variety	Disease	Trt	Leafarea
1	1	2	P	D	D_P	46.7
2	2	2	P	D	D_P	9.9
3	3	2	P	D	D_P	16.4
4	4	2	P	D	D_P	20.5
5	5	2	P	D	D_P	21.8
6	6	2	P	D	D_P	9.7
7	7	2	P	D	D_P	9.1
8	8	2	P	D	D_P	17.5
9	9	2	P	D	D_P	9.5
10	10	2	P	D	D_P	12.2
11	1	4	K	D	D_K	6.8
12	2	4	K	D	D_K	7.9
13	3	4	K	D	D_K	6.6
14	4	4	K	D	D_K	8.4
15	5	4	K	D	D_K	12.7
16	6	4	K	D	D_K	12.4
17	7	4	K	D	D_K	10
18	8	4	K	D	D_K	11.9
19	9	4	K	D	D_K	8.1
20	10	4	K	D	D_K	5.4
21	1	6	UD21	D	D_UD21	21.2
22	2	6	UD21	D	D_UD21	4.1
23	3	6	UD21	D	D_UD21	21.2
24	4	6	UD21	D	D_UD21	20.8
25	5	6	UD21	D	D_UD21	15.8
26	6	6	UD21	D	D_UD21	20.1
27	7	6	UD21	D	D_UD21	13.4
28	8	6	UD21	D	D_UD21	14
29	9	6	UD21	D	D_UD21	21.8
30	10	6	UD21	D	D_UD21	24.4
31	1	8	KW33	D	D_KW33	26
32	2	8	KW33	D	D_KW33	30.5
33	3	8	KW33	D	D_KW33	32.3
34	4	8	KW33	D	D_KW33	33.1
35	5	8	KW33	D	D_KW33	34.5
36	6	8	KW33	D	D_KW33	31.5
37	7	8	KW33	D	D_KW33	29.4
38	8	8	KW33	D	D_KW33	30.4
39	9	8	KW33	D	D_KW33	26.3
40	10	8	KW33	D	D_KW33	29.9
41	1	10	LW26	D	D_LW26	21.8
42	2	10	LW26	D	D_LW26	11.2
43	3	10	LW26	D	D_LW26	16.6
44	4	10	LW26	D	D_LW26	11.9
45	5	10	LW26	D	D_LW26	12.8
46	6	10	LW26	D	D_LW26	14.4
47	7	10	LW26	D	D_LW26	9.9
48	8	10	LW26	D	D_LW26	22.8
49	9	10	LW26	D	D_LW26	10.1
50	10	10	LW26	D	D_LW26	13.1
51	1	12	MB23	D	D_MB23	30.7
52	2	12	MB23	D	D_MB23	35.6
53	3	12	MB23	D	D_MB23	22.6
54	4	12	MB23	D	D_MB23	21.8
55	5	12	MB23	D	D_MB23	29.8
56	6	12	MB23	D	D_MB23	30.5
57	7	12	MB23	D	D_MB23	22
58	8	12	MB23	D	D_MB23	24.5
59	9	12	MB23	D	D_MB23	28.6
60	10	12	MB23	D	D_MB23	32
61	1	14	GK48	D	D_GK48	31.4
62	2	14	GK48	D	D_GK48	40.4
63	3	14	GK48	D	D_GK48	34.9
64	4	14	GK48	D	D_GK48	35.8
65	5	14	GK48	D	D_GK48	18.5
66	6	14	GK48	D	D_GK48	25.8
67	7	14	GK48	D	D_GK48	27.4
68	8	14	GK48	D	D_GK48	22.6
69	9	14	GK48	D	D_GK48	21.5
70	10	14	GK48	D	D_GK48	23
71	1	16	KW37	D	D_KW37	28
72	2	16	KW37	D	D_KW37	21.9
73	3	16	KW37	D	D_KW37	16.4
74	4	16	KW37	D	D_KW37	15.7
75	5	16	KW37	D	D_KW37	18.6
76	6	16	KW37	D	D_KW37	18.7
77	7	16	KW37	D	D_KW37	20.6
78	8	16	KW37	D	D_KW37	29.3
79	9	16	KW37	D	D_KW37	23.1
80	10	16	KW37	D	D_KW37	21.1
81	1	18	GK49	D	D_GK49	33.4
82	2	18	GK49	D	D_GK49	66.5
83	3	18	GK49	D	D_GK49	58.4
84	4	18	GK49	D	D_GK49	59.9
85	5	18	GK49	D	D_GK49	54.9
86	6	18	GK49	D	D_GK49	35.5
87	7	18	GK49	D	D_GK49	30.2
88	8	18	GK49	D	D_GK49	34.5
89	9	18	GK49	D	D_GK49	29.6
90	10	18	GK49	D	D_GK49	61.1
91	1	20	TG7	D	D_TG7	21
92	2	20	TG7	D	D_TG7	27.8
93	3	20	TG7	D	D_TG7	24.8
94	4	20	TG7	D	D_TG7	23.7
95	5	20	TG7	D	D_TG7	18.8
96	6	20	TG7	D	D_TG7	37.1
