"location" "rep" "ibk" "check" "gen" "col" "row" "yield"
"Alliance" "1" "1" "1" "Camelot" "1" "16" 71.4
"Alliance" "1" "1" "0" "NE16471" "1" "17" 56.5
"Alliance" "1" "1" "0" "NE16510" "1" "18" 50.8
"Alliance" "1" "1" "0" "NE16516" "1" "19" 49.8
"Alliance" "1" "1" "0" "NE16570" "1" "20" 52.2
"Alliance" "1" "1" "0" "NE16650" "1" "21" 42
"Alliance" "1" "1" "0" "NE16553" "1" "22" 57.4
"Alliance" "1" "1" "0" "NE16482" "1" "23" 49.5
"Alliance" "1" "1" "0" "NE16548" "1" "24" 74.9
"Alliance" "1" "1" "0" "NE16649" "1" "25" 52.8
"Alliance" "2" "1" "0" "NE16447" "1" "26" 76.8
"Alliance" "2" "1" "0" "NE16405" "1" "27" 58.4
"Alliance" "2" "1" "0" "NE16520" "1" "28" 60.6
"Alliance" "2" "1" "0" "NE16448" "1" "29" 61
"Alliance" "2" "1" "0" "NE16423" "1" "30" 65.1
"Alliance" "2" "1" "0" "NE16496" "1" "31" 49.1
"Alliance" "2" "1" "0" "NE16431" "1" "32" 59
"Alliance" "2" "1" "0" "NE16677" "1" "33" 57.7
"Alliance" "2" "1" "0" "NE16577" "1" "34" 57.3
"Alliance" "2" "1" "0" "NE16451" "1" "35" 62.7
"Alliance" "1" "1" "0" "NE16406" "2" "16" 69.7
"Alliance" "1" "1" "0" "NE16615" "2" "17" 51.7
"Alliance" "1" "1" "0" "NE16464" "2" "18" 50.4
"Alliance" "1" "1" "0" "NE16588" "2" "19" 57.2
"Alliance" "1" "1" "0" "NE16698" "2" "20" 35.3
"Alliance" "1" "1" "0" "NE16599" "2" "21" 50
"Alliance" "1" "1" "0" "NE16630" "2" "22" 50.5
"Alliance" "1" "1" "0" "NE16594" "2" "23" 49.2
"Alliance" "1" "1" "0" "NE16578" "2" "24" 63.4
"Alliance" "1" "1" "0" "NE16627" "2" "25" 60.8
"Alliance" "2" "1" "0" "NE16504" "2" "26" 67.7
"Alliance" "2" "1" "0" "NE16637" "2" "27" 54.2
"Alliance" "2" "1" "0" "NE16404" "2" "28" 52
"Alliance" "2" "1" "0" "NE16435" "2" "29" 45.4
"Alliance" "2" "1" "1" "Camelot" "2" "30" 57
"Alliance" "2" "1" "0" "NE16500" "2" "31" 58.7
"Alliance" "2" "1" "0" "NE16474" "2" "32" 28.8
"Alliance" "2" "1" "0" "NE16599" "2" "33" 64.1
"Alliance" "2" "1" "0" "NE16613" "2" "34" 54.1
"Alliance" "2" "1" "0" "NE16663" "2" "35" 59.9
"Alliance" "1" "1" "0" "NE16538" "3" "16" 55.9
"Alliance" "1" "1" "0" "NE16410" "3" "17" 49.7
"Alliance" "1" "1" "0" "NE16417" "3" "18" 48.8
"Alliance" "1" "1" "0" "NE16404" "3" "19" 48.8
"Alliance" "1" "1" "0" "NE16489" "3" "20" 57.4
"Alliance" "1" "1" "1" "Freeman" "3" "21" 73.3
"Alliance" "1" "1" "0" "NE16636" "3" "22" 57.7
"Alliance" "1" "1" "1" "GOODSTREAK" "3" "23" 52.1
"Alliance" "1" "1" "0" "NE16469" "3" "24" 51.2
"Alliance" "1" "1" "0" "NE16654" "3" "25" 45.9
"Alliance" "2" "1" "1" "Freeman" "3" "26" 78.3
"Alliance" "2" "1" "0" "NE16563V" "3" "27" 62.6
"Alliance" "2" "1" "0" "NE16671" "3" "28" 74.2
"Alliance" "2" "1" "0" "NE16515" "3" "29" 69.8
"Alliance" "2" "1" "0" "NE16489" "3" "30" 61
"Alliance" "2" "1" "0" "NE16638" "3" "31" 55.6
"Alliance" "2" "1" "0" "NE16540" "3" "32" 49.9
"Alliance" "2" "1" "1" "GOODSTREAK" "3" "33" 56.1
"Alliance" "2" "1" "0" "NE16484" "3" "34" 48.2
"Alliance" "2" "1" "0" "NE16579" "3" "35" 64.8
"Alliance" "1" "2" "0" "NE16612" "4" "16" 56.4
"Alliance" "1" "2" "0" "NE16525" "4" "17" 49.6
"Alliance" "1" "2" "0" "NE16568" "4" "18" 42.1
"Alliance" "1" "2" "0" "NE16665" "4" "19" 46.9
"Alliance" "1" "2" "0" "NE16575" "4" "20" 57.5
"Alliance" "1" "2" "0" "NE16572" "4" "21" 37.3
"Alliance" "1" "2" "0" "NE16679" "4" "22" 56.2
"Alliance" "1" "2" "0" "NE16403" "4" "23" 48.7
"Alliance" "1" "2" "0" "NE16586" "4" "24" 56.4
"Alliance" "1" "2" "0" "NE16558" "4" "25" 57.3
"Alliance" "2" "2" "0" "NE16623" "4" "26" 52.2
