Ind	Years	Lots	F.Weight	Hue.g	Ethylene	RI	TA	Glucose	Fructose	Sucrose	Citric.A.	Malic.A.
GoMo-A002	2006	1	58	73.21	3.18	13.6	20.82	1.6	0.64	5.19	20.01	6.76
GoMo-A002	2006	2	58.4	71.48	5.04	14.4	19.02	1.65	0.71	6.09	17.87	6.18
GoMo-A002	2006	3	67.3	70.93	7.81	15.1	17.25	1.47	0.61	6.48	15.07	5
GoMo-A003	2006	1	60	70.26	3.4	13.6	22.06	1.98	0.87	6.38	19.15	7.67
GoMo-A003	2006	2	66.9	68.06	5.59	13.8	22.63	1.98	0.84	6.63	17.95	7.98
GoMo-A003	2006	3	70	68.73	4.42	15	20.28	1.97	0.81	8	17.24	7.94
GoMo-A004	2006	1	66.1	88.38	3.14	13.1	16.84	1.96	0.96	5.85	13.71	9.2
GoMo-A004	2006	2	73.9	86.19	3.14	13.5	13.46	2.45	1.16	9.52	13.35	11.06
GoMo-A004	2006	3	68.7	80.36	3.71	15.3	12.31	2.29	1.11	10.26	8.01	7.07
GoMo-A005	2006	1	57.2	84.09	8.54	13.3	34.88	1.52	0.8	8.89	33.78	12.97
GoMo-A005	2006	2	57.6	77.14	9.16	14.6	31.86	1.99	1.2	6.26	26.81	9.96
GoMo-A005	2006	3	58.2	70.99	9.42	14.9	28.24	1.96	0.99	8.93	23.07	9.16
GoMo-A006	2006	1	79	85.07	4.56	14.3	21.46	2.12	0.99	8.06	18.49	8.83
GoMo-A006	2006	2	79.4	83.29	5.78	14.7	21.27	1.82	0.88	7.98	15.96	7.92
GoMo-A006	2006	3	83.4	81.36	6.31	15.4	19.76	2.19	1.1	11.1	14.31	7.41
GoMo-A007	2006	1	68.8	71.53	3.56	12.9	19.37	2	0.65	7.42	14.77	7.2
GoMo-A007	2006	2	61.7	70.44	4.04	13.2	17.07	2.66	0.87	10.98	12.76	6.84
GoMo-A007	2006	3	70.4	68.05	4.83	14.7	15.64	2.28	0.75	10.52	14.35	7.15
GoMo-A008	2006	1	58.1	93.27	5.01	13.2	22.45	1.25	0.73	5.86	21.4	6.43
GoMo-A008	2006	2	64.1	90.18	7.58	13.5	17.15	1.54	0.82	8.59	18.02	8.31
GoMo-A008	2006	3	63.4	87.2	8.21	13.6	17.25	1.39	0.76	8.91	13.63	6.05
GoMo-A009	2006	1	67.3	74.57	2.3	13.9	17.74	1.63	0.81	3.64	16.18	6.3
GoMo-A009	2006	2	65.2	72.34	3.71	14.2	17.44	1.7	0.76	3.93	17.86	6.76
GoMo-A009	2006	3	67.4	69.03	6.64	14.6	15	1.88	0.83	6.29	12.2	6.54
GoMo-A010	2006	1	63	72.36	3.93	12.5	28.5	1.37	0.66	5.87	22.06	9.66
GoMo-A010	2006	2	76.3	69.65	7.04	14.1	24.06	1.36	0.69	8.21	15.52	7.13
GoMo-A010	2006	3	62.6	69.99	8.37	14.7	20.69	1.37	0.7	8.09	13.75	7.46
GoMo-A013	2006	1	57.2	94.11	6.91	10.9	26.39	1.12	0.56	4.33	23.36	6.67
GoMo-A013	2006	2	59.8	91.55	7.89	11.1	24.81	1.33	0.64	6.23	17.87	6.18
GoMo-A013	2006	3	64.9	88.78	8.11	11.8	22.25	1.9	0.99	9.21	20.96	6.18
GoMo-A014	2006	1	75.2	94.91	5.84	11.9	22.76	1.94	0.62	6.72	28	7.19
GoMo-A014	2006	2	83.1	91.91	7.43	13	15	2.22	0.86	8.45	22.85	6.19
GoMo-A014	2006	3	76.4	87.54	8.55	13.9	17.44	2.38	0.84	7.83	19.88	5.39
GoMo-A015	2006	1	52.6	88.57	2.94	16.5	24.06	2.19	0.87	5.62	12.13	6.53
GoMo-A015	2006	2	65.7	82	3.89	17.5	20.69	2.24	1.03	6.48	13.72	6.84
GoMo-A015	2006	3	60.5	82.62	3.18	18.5	21.17	2.96	1.19	8.79	11.33	5.98
GoMo-A016	2006	1	71.4	80.97	5.11	14.1	23.6	1.51	0.68	7	17.07	11.07
GoMo-A016	2006	2	74.8	81.13	5.35	13.1	19.79	1.6	0.68	7.46	15.46	11.29
GoMo-A016	2006	3	77.9	77.59	5.65	14.8	18.64	1.53	0.62	7.43	15.38	9.11
GoMo-A017	2006	1	73.5	78.1	4.44	11.7	20.9	1.19	0.42	4.44	21.46	6.24
GoMo-A017	2006	2	76.8	75.99	4.61	13.4	17.24	1.57	0.59	6.84	22.04	6.72
GoMo-A017	2006	3	77	72.03	7.94	12.8	22.76	1.4	0.43	6.09	19.29	5.76
GoMo-A018	2006	1	63.2	82.95	5.63	13.4	24.51	1.63	0.82	6.42	20.7	5.85
GoMo-A018	2006	2	66.6	77.8	7.33	13.9	23.71	1.54	0.77	6.44	22.54	6.03
GoMo-A018	2006	3	66.8	75.93	8.51	14.9	23.85	1.76	0.87	7.73	18.06	5.18
GoMo-A019	2006	1	63.8	87.19	3.22	12.9	16.74	1.71	0.92	4.99	13.01	6.51
GoMo-A019	2006	2	63.6	83.49	5.51	13.8	15.78	2.01	0.99	5.83	12.09	6.64
GoMo-A019	2006	3	67	84.13	6.52	14.9	16.46	1.83	0.9	6.01	13.36	6.09
GoMo-A020	2006	1	55.3	83.76	3.87	13.8	16.85	1.55	0.81	3.9	13.43	7.13
GoMo-A020	2006	2	66	83.34	4.13	17.4	21.42	1.41	0.66	4.77	15.23	6.4
GoMo-A020	2006	3	67.3	83.18	4.42	19	19.57	1.92	0.85	5.72	14.93	6.24
GoMo-A021	2006	1	61.28	79.57	3.71	13.5	19.63	1.73	0.75	6.91	18.81	7.12
GoMo-A021	2006	2	62.4	72.87	6.82	15.2	17.27	1.66	0.73	8.62	18.54	7.52
GoMo-A021	2006	3	56.7	72.67	7.45	14.2	20.83	1.6	0.71	6.51	19.94	7.12
GoMo-A022	2006	1	58.8	74.59	4.8	12.9	28.08	0.88	0.54	4.65	19.88	4.67
GoMo-A022	2006	2	58.8	72.82	6.61	13.3	25.83	0.91	0.49	4.55	20.75	4.09
GoMo-A022	2006	3	62	71.58	7.25	13.6	26.24	0.95	0.52	5.72	17.43	4.76
GoMo-A023	2006	1	43.1	79.26	3.22	16.4	19.22	1.77	0.65	5.81	14.04	7.42
GoMo-A023	2006	2	51.7	80.15	3.14	15.6	22.11	1.71	0.64	5.84	14.57	7.7
GoMo-A023	2006	3	49.9	74.97	3.76	17.8	21.47	1.69	0.61	6.79	10.4	6.43
GoMo-A024	2006	1	69.7	75.48	4.01	11.7	21.67	1.33	0.57	6.03	19.36	6.75
GoMo-A024	2006	2	70.2	73.46	4.38	14.1	19.67	1.49	0.63	6.58	15.85	6.41
GoMo-A024	2006	3	63.1	68.88	6.58	15.3	20.29	1.64	0.71	8.63	16.48	6.41
GoMo-A025	2006	1	58.1	71.75	3.04	15.7	19.9	1.32	0.56	5.66	16.5	8.46
GoMo-A025	2006	2	62	69.94	2.77	16.5	20.82	1.31	0.64	5.2	13.87	7.65
GoMo-A025	2006	3	71.8	67.26	3.09	16.9	20.74	1.39	0.63	7.08	13.82	7.18
GoMo-A026	2006	1	53.1	78.6	7.73	12.2	18.65	1.12	0.47	6.69	19.22	5.92
GoMo-A026	2006	2	52.8	71.77	8.37	13.9	16.4	1.24	0.48	8.05	15.85	7.43
GoMo-A026	2006	3	60	70.5	8.58	14.8	14.75	1.28	0.49	9.42	14.41	7.03
GoMo-A027	2006	1	62.3	67.42	3.22	14.8	20.47	1.61	1.24	5.8	17.67	6.22
GoMo-A027	2006	2	64.5	67.12	3.69	14.8	18.32	1.61	1.22	5.75	19.53	6.41
GoMo-A027	2006	3	63.2	66.9	5.12	14.6	19.04	1.59	1.18	5.77	18.69	6.44
GoMo-A028	2006	1	71.1	89.23	7.58	13.9	22.84	1.23	0.49	5.13	23.33	5.86
GoMo-A028	2006	2	72	84.95	8.1	13.7	21.89	1.27	0.54	5.83	22.84	6.11
GoMo-A028	2006	3	70.7	83.26	8.29	14.2	19.72	1.35	0.46	6.54	19.85	5.46
GoMo-A029	2006	1	57.9	67.55	3.5	17	18.63	2.01	1.32	7.44	13.15	8.76
GoMo-A029	2006	2	58.4	65.58	3.87	17.7	17.77	1.78	1.18	7.6	13.27	9.13
GoMo-A029	2006	3	57.9	64.95	4.16	19.7	19.39	1.87	1.31	8.56	18.78	10.29
GoMo-A030	2006	1	50.5	83.9	2.77	13.7	17.16	1.6	0.73	6.09	12.96	12.22
GoMo-A030	2006	2	50.2	78.66	3.4	11.2	18.82	1.17	0.64	5.16	11.47	11.7
GoMo-A030	2006	3	47.2	82.07	3.83	15	20	1.49	0.79	7.59	13.36	12.77
GoMo-A031	2006	1	56	77.42	4.06	13.5	19.4	1.56	0.54	5.06	15.26	9.62
GoMo-A031	2006	2	52.8	77.28	4.48	13.7	20.03	1.86	0.58	6.62	15.41	9.24
GoMo-A031	2006	3	51.2	77.35	5.55	14.3	17.66	2.1	0.61	6.72	14.08	8.77
GoMo-A032	2006	1	52.5	73.35	3.14	15.7	19.03	1.68	1.11	4.08	12.96	7.66
GoMo-A032	2006	2	68.7	70.9	3.14	15.5	17.59	1.64	1.02	4.82	10.56	6.53
GoMo-A032	2006	3	60.7	67.34	3.47	16.5	17.16	1.72	1.07	5.58	13.96	8.11
GoMo-A033	2006	1	62.4	82.69	3.5	11.2	23.56	2.02	1.17	5.04	18.56	6.69
GoMo-A033	2006	2	69	78.28	6.82	11.2	20.97	1.57	1.01	4.53	16.29	6.46
GoMo-A033	2006	3	72.3	74.09	8.26	12.1	19.85	1.26	0.72	5.12	14.82	6.19
GoMo-A034	2006	1	77.3	77.92	7.89	11.4	31.96	1.33	0.77	5.15	24.81	6.07
GoMo-A034	2006	2	73.3	76.28	8.67	13.8	32.04	1.3	0.88	5.04	26.88	7.16
GoMo-A034	2006	3	78	75.5	8.74	13.8	29.23	1.5	0.95	5.62	19.8	4.73
GoMo-A035	2006	1	57.1	78.05	6.74	12.6	28.31	1.31	0.71	4.62	24.32	5.81
GoMo-A035	2006	2	81.3	75.07	8.56	13.1	27.08	1.39	0.64	5.23	26.85	5.76
GoMo-A035	2006	3	89.9	76.48	8.51	13.2	26.03	1.37	0.64	6	24.16	5.55
GoMo-A037	2006	1	64.2	88.89	5.13	12.2	19.71	1.71	0.55	4.76	19.89	5.18
GoMo-A037	2006	2	71.8	84.99	7.03	12.4	17.55	2.12	0.71	6.08	16.61	5.58
GoMo-A037	2006	3	66.9	86.37	7.2	12.9	17.91	1.83	0.63	5.23	15.53	5.24
GoMo-A038	2006	1	62.4	95.6	4.41	15.5	23.82	1.14	0.78	5.22	18.54	12.2
GoMo-A038	2006	2	67	93.52	4.84	16.5	23.22	1.45	0.93	7.27	16.25	11.64
GoMo-A038	2006	3	67.8	85.38	6.23	16.4	22.93	1.66	1.03	8.64	14.07	11.1
GoMo-A039	2006	1	85.9	67.19	3.14	14.6	21.36	1.58	1.01	5.22	13.91	7.97
GoMo-A039	2006	2	78.8	64.69	4.01	15.9	19.3	1.76	1.2	6.44	13.72	9.03
GoMo-A039	2006	3	81.7	61.51	5.13	16.9	19.91	1.72	1.18	7.46	14.72	8.2
GoMo-A041	2006	1	57.9	74.3	2.2	14.3	25.24	1.17	0.5	3.5	24.82	4.86
GoMo-A041	2006	2	62.6	69.23	3.43	16	26.29	1.61	0.66	5.89	24.41	5.54
GoMo-A041	2006	3	71.6	69.32	6.82	15.8	22.24	1.47	0.6	7.51	23.61	6.23
GoMo-A042	2006	1	51.6	95.55	3.53	13	17.77	2.1	0.76	4.87	16.64	6.48
GoMo-A042	2006	2	50.9	90.26	6.99	14.5	14.78	2.4	0.78	6.81	11.51	6.36
GoMo-A042	2006	3	52.8	87.42	7.89	14.7	14.26	2.14	0.63	6.79	11.76	6.18
GoMo-A043	2006	1	52.6	69.25	2.71	11.5	18.17	1.52	0.59	5.72	15.59	5.55
GoMo-A043	2006	2	55.5	68.44	2.89	11.6	17.55	1.54	0.53	5.41	17.8	6.34
GoMo-A043	2006	3	55.9	66.19	4.08	12.5	17.69	1.74	0.71	5.68	17.12	5.95
GoMo-A044	2006	1	73.5	82.34	4.89	12.4	22.18	1	0.37	4.08	19.51	5.53
GoMo-A044	2006	2	75	78.96	7.13	13.1	21.69	1.2	0.47	6.25	18.71	5.57
GoMo-A044	2006	3	82.8	77.03	8.05	14.2	21.67	1.15	0.39	6.33	17.45	5.26
GoMo-A045	2006	1	55.2	78.69	6.94	13.2	20.01	1.39	0.62	5.58	16.79	5.94
GoMo-A045	2006	2	54.4	75.37	7.25	13.7	20.36	1.21	0.54	5.83	18.67	6.14
GoMo-A045	2006	3	53.7	72.48	7.67	14.7	18.89	1.8	0.9	5.51	12.67	5.31
GoMo-A046	2006	1	84.2	75.2	2.48	13.7	17.55	1.22	0.82	6.26	16.43	6.9
GoMo-A046	2006	2	81.1	70.99	4.86	16.3	14.69	1.61	0.82	8.12	17.35	6.97
GoMo-A046	2006	3	70.3	71.53	4.16	15.3	14.24	1.55	0.73	7.72	13.33	8.65
GoMo-A047	2006	1	55.5	81.36	2.89	14.9	24.83	1.17	0.68	3.99	18.91	6.19
GoMo-A047	2006	2	76.7	75.76	3.4	14.6	20.74	1.18	0.62	5.24	15.14	5.63
GoMo-A047	2006	3	70.3	69.94	3.64	15.8	16.85	1.64	0.7	8.62	12.08	5.01
GoMo-A048	2006	1	43.3	86.94	5.74	12.4	28.87	1.46	0.82	4.94	24.47	5.62
GoMo-A048	2006	2	50.6	84.38	7.41	13.4	26.26	1.38	0.8	6.42	24.6	6.09
GoMo-A048	2006	3	49.7	83.1	8.11	14	25.92	1.38	0.79	6.87	23.38	6.17
GoMo-A048	2006	1	51.6	80.14	7.28	12	23.22	1.32	0.75	5.29	22.7	5.64
GoMo-A048	2006	2	47.7	77.63	8.16	13.2	20.51	1.14	0.62	6.46	20.77	5.63
GoMo-A048	2006	3	47.8	73.96	8.9	14	17.31	1.25	0.52	6.97	15.38	5.29
GoMo-A049	2006	1	76.7	69.48	3.64	12.3	33.06	0.4	0.17	6.79	27.68	7.39
GoMo-A049	2006	2	67.5	65.02	6.12	13.9	37.48	0.49	0.22	6.88	23.71	6.39
GoMo-A049	2006	3	74.7	66.66	6.35	13.1	34.32	0.39	0.15	6.49	24.58	7.34
GoMo-A051	2006	1	59.5	86.31	7.06	11.6	14.24	1.49	0.5	5.88	10.93	5.36
GoMo-A051	2006	2	53.2	83.4	7.99	12.1	13.19	1.85	0.65	6.51	13	5.08
GoMo-A051	2006	3	59.8	80.9	8.02	12.3	12.86	1.69	0.57	6.23	13.02	5.09
GoMo-A052	2006	1	50.4	94.58	6.55	11.8	21.67	1.46	0.53	5.53	16.69	4.93
GoMo-A052	2006	2	54.5	93.05	6.39	12.5	19.34	1.69	0.6	6.23	14.9	5.34
GoMo-A052	2006	3	56.4	90.92	7.58	13	16.81	1.8	0.59	7.23	13.28	5.31
GoMo-A053	2006	1	71.7	79.14	6.37	13.7	20.95	1.87	0.62	6	23.01	4.46
GoMo-A053	2006	2	70.1	72.77	6.77	15	19.78	1.88	0.62	7.4	18.6	4.74
GoMo-A053	2006	3	59.5	68.58	8.19	16	19.46	1.88	0.62	7.27	18.2	5.3
GoMo-A054	2006	1	72.2	80.1	6.19	14.3	19.81	1.73	0.59	7.16	19.51	4.44
GoMo-A054	2006	2	79.7	77.19	6.97	15.2	19.76	1.78	0.57	7.79	19.15	5.01
GoMo-A054	2006	3	75.6	74.16	8.04	16.3	19.31	1.75	0.53	8.34	19.4	5.5
GoMo-A055	2006	1	70.7	85.18	4.2	13.1	21.6	1.6	0.88	6.12	19.36	7.34
